frame_idx,t_sec,page_found,area,fill,contact,stability,blur,text,hand,hand_text_overlap,edge_fg,bottom_hand,turn,edge_motion,raw_score,norm_score,peak_score
0,0.000,1,0.7632,0.8752,0.9386,0.5000,619.21,0.07901,0.07593,1.00000,0.17191,0.66909,0.74394,0.00000,3.90842,0.57888,0.49760
15,0.500,1,0.8415,0.9970,0.9178,0.4755,117.78,0.05924,0.35899,1.00000,0.35912,1.00000,0.59243,0.91300,-0.94096,0.06594,0.05539
30,1.000,1,0.7317,0.8041,0.9690,0.0000,102.56,0.05504,0.37152,1.00000,0.31714,1.00000,0.53686,1.00000,-2.37051,0.00000,0.00000
45,1.501,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
60,2.001,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
75,2.501,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
90,3.001,1,0.8590,0.9388,0.9729,0.1534,305.20,0.06671,0.02666,1.00000,0.21184,0.29283,0.69583,1.00000,4.15536,0.60500,0.53427
105,3.501,1,0.8290,0.9708,0.9256,0.6331,88.21,0.03932,0.01572,0.50651,0.28210,0.42904,0.58357,0.44286,5.28110,0.72408,0.66360
120,4.001,1,0.8365,0.9853,0.9217,0.8340,467.94,0.06798,0.02967,0.25753,0.21027,0.74976,0.63126,0.29678,8.92993,1.00000,0.92265
135,4.502,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
150,5.002,1,0.8486,0.9698,0.9421,0.8342,65.24,0.03536,0.01966,1.00000,0.26406,0.30238,0.45890,0.35818,4.44243,0.63536,0.55954
165,5.502,1,0.8690,0.9623,0.9636,0.8626,43.47,0.02402,0.02627,1.00000,0.31856,0.36817,0.28157,0.37795,4.47277,0.63857,0.55797
180,6.002,1,0.8355,0.9451,0.9488,0.8041,425.65,0.06474,0.05272,1.00000,0.24439,0.27429,0.57770,0.41406,5.56231,0.75382,0.66356
195,6.502,1,0.8198,0.9274,0.9484,0.9201,438.00,0.06434,0.05794,1.00000,0.21333,0.29594,0.60936,0.25637,5.69307,0.76765,0.67560
210,7.003,1,0.8215,0.9282,0.9493,0.8729,690.39,0.06844,0.06108,1.00000,0.21572,0.33165,0.62307,0.27457,6.32721,0.83473,0.73264
225,7.503,1,0.8189,0.9284,0.9470,0.8205,638.55,0.07007,0.05416,1.00000,0.16922,0.19324,0.63746,0.27404,6.46530,0.84933,0.75445
240,8.003,1,0.7946,0.8908,0.9550,0.1289,16.95,0.01900,0.38262,1.00000,0.30876,1.00000,0.39642,1.00000,-2.85333,0.00000,0.00000
255,8.503,1,0.8195,1.0000,0.9008,0.4446,112.33,0.02946,0.35437,1.00000,0.37915,1.00000,0.44535,0.97992,-1.63358,0.00000,0.00000
270,9.003,0,0.0000,0.0000,0.0000,0.0000,0.00,0.00000,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,-1000000000.00000,-1000000000.00000,-1000000000.00000
285,9.504,1,0.8425,0.9651,0.9403,0.0000,92.43,0.04493,0.03251,0.61557,0.23631,0.39657,0.44595,1.00000,4.91647,0.68551,0.62341
300,10.004,1,0.9017,0.9239,1.0204,0.5703,208.60,0.04989,0.05932,0.80522,0.26437,0.34378,0.43521,0.47448,6.28420,0.83018,0.74050
315,10.504,1,0.8721,0.9510,0.9747,0.7708,529.97,0.05982,0.03646,0.58194,0.27062,0.45076,0.45608,0.20069,9.62315,1.00000,0.90735
330,11.004,1,0.8864,0.9773,0.9667,0.7405,60.77,0.03267,0.03243,0.51972,0.28166,0.48263,0.37458,0.28564,7.90361,1.00000,0.91086
345,11.504,1,0.8784,0.9632,0.9705,0.7612,41.03,0.02748,0.02528,1.00000,0.31369,0.19564,0.33457,0.49533,4.73079,0.66587,0.58847
360,12.004,1,0.8754,0.9568,0.9729,0.7293,613.63,0.06292,0.01934,1.00000,0.25531,0.07231,0.68774,0.59378,6.95949,0.90161,0.80603
375,12.505,1,0.8734,0.9535,0.9736,0.9021,601.97,0.06199,0.01640,1.00000,0.25157,0.05827,0.65539,0.29047,7.76459,0.98677,0.88337
390,13.005,1,0.8690,0.9528,0.9705,0.9338,646.53,0.06259,0.01441,1.00000,0.25623,0.04969,0.66110,0.23696,7.75464,0.98571,0.88285
